Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's nativelanguage	Languages spoken at home	Age of exposure to Spanish	Years studying Spanish	Stay abroad in Spanish speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writting/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	EN_WR_29_20_3_2_CRM	2006-2016	29 / 43	67.4	Upper intermediate	Male	20	University of Florida	Political Science/ Music	3rd	English	English	English	English	18	3	No	""	""	0	""	Upper intermediate (B2)	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Outside classroom	""	Hoy estoy allegro porque voy a hablar con una persona famousa, El Presidente George W. Bush. Fui en un contestado y gané. Voy a almorzarme con él. Vamos a ir a Outback, una casa de bistec. Pienso que el se guste bistec porque es de Texas.  <br/>  Cuando lo conoco, voy a hacer más preguntas a él. Primero, quiero saber cómo el trabajo de el presidente está. En mi futura, quiero ser el presidente de EEUU. Es mi meta. Si quiero saber mucho sobre el trabajo de el presidente. También, quiero saber sobre su familía. ¿Está dificil para tener una familía y ser presidente? ¿Está dificil para su familía? Eses preguntas son no facil, pero son muy importante.  <br/>  Despues, voy a hablar con El Presidente sobre su tiempo libre. ¿Tiene mucho tiempo libre? ¿Qué hace en su tiempo libre? Tiempo libre es muy importante especialmente para El presidente. Sin tiempo para relajar, irá loco.  <br/>  También, ¿como vive con el estrés? El trabajo del presidente tiene mucho estrés y el presidente necisita una via para vivir con el estrés.  <br/>  La esposa es muy importante para el presidente también. Sin una esposa buena y lista, es muy dificil ser presidente. La esposa del presidente será con el presidente todos lugares. Durante todo programas politicas y otras cosas. Tambien, la esposa tenerá que hablar durante alguna programas y otros espetaculos. La esposa llamará muchas personas y diga el mundo sobre su esposo. Pero, un dia, este trabajo puede ser el trabajo del hombre. Con una canidata mujer para el vice-presidente, podemos tener una presidente mujer. Es muy posible.  <br/>  Pues, estoy listo para almuerzo y para hablar con el presidente. Hasta luego.	
Learners	EN_WR_29_20_4_14_PG	2018	29 / 43	67.4	Upper intermediate	Male	20	Central College	Biochemistry, Spanish	Sophomore	English	English	Spanish	English	16	4	Yes	Spain	2018	5	""	Lower intermediate (B1)	Lower advanced (C1)	Upper intermediate (B2)	Upper intermediate (B2)	4 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	33	Outside classroom	""	"Charlie Chaplin estaba andando en la calle cuando veía un bebe en el suelo. Después, Chaplin vio una mujer y le deja el bebe con ella. La mujer le grito a Chaplin porque el bebe no era suya y La revolvió el bebe a Chaplin, entonces Chaplin no quería el bebe y probó dejarlo pero la policía no lo permite. Después de andando mas lejos desde la policía, Chaplin probó dejar el bebe con un hombre aunque ese vez tenía éxito. Ese hombre, vio la mujer desde temprano, y dejó el bebe con ella cuando no estaba viendo. Chaplin estaba andando en la misma calle con la mujer y ella creía que Chaplin se dejó el bebe otra vez. Ella se gritaba a Chaplin mientras la policía aparecía. Chaplin sacó el bebe y luego sentó con él. Quería dejarlo en la calle pero decidió que no es una idea mala. Chaplin encontró una nota que dijo ""amar y cuidar del bebe"". Finalmente, Chaplin decidió hacer eso."	
Learners	EN_WR_29_20_4_6_VMB	2006-2016	29 / 43	67.4	Upper intermediate	Female	20	Georgia State University	Finance	3rd	English	English	Spanish	English	3	4	No	""	""	0	""	Lower beginner (A1)	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	6	6. Recent trip	written_online	""	Inside classroom	""	Recientemente, yo fui a Florida con mi madre, mi tio, y mi tia. Nosotros fuimos a la playa de Clearwater en junio. El mar fue muy bonito y quiero volver. Me gusta nadar y fui a la playa todos los dias. Yo nadié en la piscina de la hotel también. Mi familia nadamos conmigo hasta fuimos cansadas. Entonces, nosotros fuimos al restaurante. Nosotros fuimos los restaurantes todos los noches porque no tenemos una cocina o comida. Los restaurantes en Clearwater tiene mucho pescados frescos y son muy deliciosos. Nosotros iramos también en el año proximo y estoy listo ver mi familia y la playa pronto. Vacaciones son necesarios porque la escuela es trabajo demasiado.	
Learners	EN_WR_29_20_6_2_EMH	2006-2016	29 / 43	67.4	Upper intermediate	Female	20	University of Illinois at Urbana Champaign	""	1st	English	English	English	English	14	6	Yes	Spain	June 2005	1	""	Upper intermediate (B2)	Lower intermediate (B1)	Upper intermediate (B2)	Lower intermediate (B1)	3.5 / 6	Japanese	Lower beginner (A1)	Lower intermediate (B1)	Upper beginner (A2)	Upper beginner (A2)	Written	2	2. Famous person	written_online	""	Outside classroom	""	No voy al cine a menudo, pero me gustan películas. Mi favorito tipo de películas es comedias o “chick flicks.” Me detesto películas de horror como Seven o The Shining. Mi actriz favorita es Jennifer Garner. El noche pasado mi amiga y yo miramos 13 Going on 30. Es una película muy cómica, sobre una chica quien tiene 13 años y espere que ella tenga 30 años. Ella levanta el próximo día y ella tiene 30 años pero su vida no esta como ella esperaría. Su vida es como malos jueves para desayuno, después desayuno el resto de su día esta terrible. Me encanta Jennifer Garner en la película. Ella esta muy bonita y muy chistoso. Ella tiene mucha ropa fabulosa con todos de los zapatos, bolsos y maquillaje que ella quiere o necesita. En una parte ella lleva una vestida como las cotinas en la casa de mi abuela. Pero ella tiene estilo. Jennifer Garner se casó Ben Affleck el año pasado y ahora ellos tienen una hija se llama Violet (pienso que se llama Violet, no puedo recodar ahora)! <br/>   . Me gusta Jennifer Garner porque ella aparece ser normal. Ella es similar a el constructor de café, segura. No me gustan muchas celebridades porque ellos son muy falsos y vanidosos. Ellos solo hacer cosas para atención. Me detesto personas como Paris Hilton o Britney Spears. Jennifer Garner esta muy normal, como mis amigas y yo. Ella fue de la universidad y estaba una Pi Phi, como yo.	
Learners	EN_WR_29_20_7_14_MC	2018	29 / 43	67.4	Upper intermediate	Female	20	Abilene Christian University	Spanish	Junior	English	English	English	English	13	7	Yes	Honduras	2018	3	""	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	Upper intermediate (B2)	3.75 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	10	Outside classroom	""	En este video, Charlie Chaplin camino en una calle entre muchas casas. Cuando el esta caminando, la gente eliman su basura a fuera de las ventanas. Charlie encuentro un bebe en la calle, y el lo da a una otra mama con su bebe. Ella no lo quiere, por eso, el da el bebe a un otro hombre. El regresa el bebe a la mama tambien. La  mama dice a el policia, y el hombre de policia da el bebe a Charlie otra vez, pero el bebe no es el hijo de el.	
Learners	EN_WR_29_20_7_14_TVA	2019	29 / 43	67.4	Upper intermediate	Male	20	Monmouth College	Economics, Spanish	3	English	English	English	English	5	7	No	""	""	0	""	Upper intermediate (B2)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3.25 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	Inside classroom	Bilingual dictionary (English/Spanish)	El video es unos de los Charlie Chaplain. Estaba caminado cuando encuentra un bebe en la calle llorando. No sabe que hacer, por eso lo pone en un carro de un mujer. Ella no le gusta esto y se hace venir. El no quiere el bebe tambien, y empieza pone el bebe en la calle un otra vez, pero un policia ve esto occure y cambia su mente. Cual busca por un otra manera a se decha el bebe, juega un truco en un senor que a pasando y darle el bebe cual hacer su zapato, pero actualmente esta huido. El senor no queire tambien, y pone el bebe en el mismo carro a Champlain de antes. El mujer no es feliz y empieza pelear con Chaplain a toma el bebe un otra vez. El no sabe que debe hacer con el bebe y sientase a pensar sobre sus opciones. Mira un desague por agua en la calle y abrirlo, pero su conciousa le para. Encuentra un letra, probablamente de la madre del bebe, y leerlo. Cambia su mente finalmente y hacer el correcto cosa y mantene el bebe.	
Learners	EN_WR_29_20_9_5_LM	2006-2016	29 / 43	67.4	Upper intermediate	Female	20	Illinois Wesleyan University	Political Science	3rd	English	English	English	English	11	9	Yes	Spain	Now	4	""	Lower intermediate (B1)	Lower advanced (C1)	Upper intermediate (B2)	Upper intermediate (B2)	4 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Outside classroom	""	"Pienso que el futuro no es cierto porque es imposible para saber que va a occuir. Ahora estoy en Espana y tengo dos meses mas aquí. Pienso que este viaje cambiado mis planes por el futuro porque me encanta Espana y todo del Europa. Pienso que es muy importante paar ver a otros lugares en el mundo y es muy importante para aprender sobre otros cutures. En el futuro quiero er mas del mundo pero tambien ayudar otros personas que no tienen mas. En mi universidad en los Estados Unidos estudio las politicas y quiero ser un abogad. Hay muchos tipos de abogados pero quiero ayudar ciudadanos en pasises sin mucho dinero. Tambien quiero protejo los derechos humanos en paises como Africa. Pienso que la mayoria del mundo no presta atencion a estes personas y sus problemas pero cuando veo peliculas o leo articulos sobre sus vidas pienso que necesito ayudar ellos. <br/>   Despues de mi viaje a Espana tengo un año mas en la universidad. Despues de este quiero a trabajar con ""Peace Corps"" para quiero ver mas del mundo y tambien ayudar personas en paises malos. El ""Peace Corps"" es por 27 meses y despues de este quiero asistir la escuela de los abogadas. Quiero asistir una escuela muy bien como ""Ivy League"" pero estoy seguro. Este escuela es por tres años y despues de este quiero trabajar con el UN. No es necesario para ganar mucho dinero pero quiero hacer una diferencia. Tambien quiero casar y tambien quiero hijos pero no estoy preocupada con este porque pienso que este es normal. Cuan tengo niños quiero vivir en un otro pais. Me gusta los Estados Unidos pero pienso que es muy importante para aprender otros lenguas y cultures. Tambien en Europa es muy facil para visitir otros paises con lenguas y culturas diferentes porque todos los paises son muy cercas. No me gusta las politicas de los Estados Unidos y quiero que mis niños aprenderemos en un otro lugar. Quiero trabajar por muchos años y ayudar muchas personas tamben. Pienso que es muy importante para visitar todos los paises del mundo porque los ciudadanos tienen cosas para ofrecer. Es muy interesante porque en los Estados Unidos la mayoria de ciudadanos no piensen de otros personas porque queren dinero y poder. Pienso que este es muy mal. Porque me encanta otras culturas me encanta tambien el arte. Pienso que el arte y la historis del arte es muy importante porque hablan sobre el mundo pero tambien ofrece cosas muy bonitos. Estoy seguro que en todo de mi vida voy a encantar el arte y si ganaré mucho dinero quiero colectar el arte pero porque hay muchos mueos en el mundo este no es importa. Pienso la idea del futuro es dificil porque nada es seguro pero sabe cosas que quiero y otras cosas que no quiero y voy a usar estas sentimientos para ayudarme con mi futuro."	
Learners	EN_WR_29_21_10_14_SZ	2017	29 / 43	67.4	Upper intermediate	Female	21	University of Florida	Telecommunications and Spanish	Senior	English	English	English	English	18	10	No	""	""	0	""	Upper intermediate (B2)	Lower advanced (C1)	Upper intermediate (B2)	Lower advanced (C1)	4.5 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	3	Outside classroom	Bilingual dictionary (English/Spanish)	Al comienzo, un hombre esta caminando por el calle. De repenta, un bebe caé del cielo y golpea el hombre. Despues, el hombre se sorprende y mira a su alrededor. Arregla su ropa, sus zapatos, y mira a su alrededor otra vez. El ve el bebe y camina hacia el bebe. El comienza de salir del bebe, pero una policia es cerca y no puede deja el bebe. Entonces el trae el bebe con su mismo y camina por los calles otra vez. El encuentra otro hombre y le da el bebe al hombre. Despues, el hombre le pone el bebe en el carruaje con otro bebe. El primer hombre camina por el calle y pase por el bebe en el carruaje, pero su madre es enojado, y el hombre necesita tomar el bebe con su mismo otra vez. Despues, el mece el bebe en sus brazos y encuentra una nota diciendo que el bebe necesita el y que el bebe es un huerfano. El sonrie.	
Learners	EN_WR_29_21_1_14_KO	2018	29 / 43	67.4	Upper intermediate	Female	21	CUNY New York City College of Technology	Fashion Marketing	""	English	Spanish	Spanish	Spanish	15	1	No	""	""	0	""	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	4 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	Outside classroom	""	Chaplin se encuentra un bebe botado en el piso mientres el estaba fumando. El trata de encontar de queen es el bebe. El ve a una mujer pero no era el bebe de Ella. Luego el trata de regresar el bebe al piso pero un policia le ve. Entonces el se lleva al bebe y le entrega a un señor. El señor le deja al bebe en un coche estraño. La dueña del coche le ve a Chaplin y le pega y el se lleva al bebe por que vino la policia otra vez. Luego se sienta y encuentra una nota lo lee y se dicide quedarse con el bebe.	
Learners	EN_WR_29_21_4_14_MEC	2019	29 / 43	67.4	Upper intermediate	Female	21	Texas Tech University	Psychology	senior	English	English	English	English	15	4	Yes	Spain	2019	4	""	Lower beginner (A1)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	1.75 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	Outside classroom	Bilingual dictionary (English/Spanish)	Charles estaba fumando un cigarillo cuando vio un bebe. El ve una madre y le da el bebe. Ella dice que no es su bebe y el pone a el bebe donde lo encontro. Pero el policía lo ve. El recoge el bebe y lo lleva. El lo da a un hombre en la calle y corre y esconde. El hombre lo busca pero solo encuentra un carruaje y deja el bebe allí. cuando salga charles, la madre lo ve y corre tras el con un paraguas. Ella lo golpea hasta que llega el policía y charles vuelve tomar el bebe. Luego se siente con bebe y encuentra una nota para que se quede con bebe.	
Learners	EN_WR_29_21_4_1_RAB	2006-2016	29 / 43	67.4	Upper intermediate	Female	21	Messiah College	Spanish	3rd	English	English	English	English	15	4	Yes	Spain	January 2009	4	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	Swahili	Upper beginner (A2)	Upper beginner (A2)	Lower beginner (A1)	Lower beginner (A1)	Written	1	1. Region where you live	written_online	""	Outside classroom	""	"Vivo en los Estados Unidos, en el estado de Illinois. Illinois es casi en el centro del EE.UU. y no es muy interesante. La tierra es muy llano y hay muchas granjas. Aunque Illinois no es un estado muy impresionante, tiene aspectos que me gustan mucho. Algunos de estas cosas son: La ciudad de Chicago, que tiene las cuatro estaciones, y el campo. <br/>  Chicago esta en el norte de Illinois y esta al lado del lago de Michigan. Es una ciudad grande, diversa, limpia, y bonita con muchas cosas divertidas hacer. Me gusta explorar los barrios diferentes de Chicago. Un ejemplo de un barrio es ""Chinatown"". Chinatown es un barrio de chino. A veces mi familia y yo visitamos para comer comida autentica de china. Es muy divertida. Ahora Chicago es muy guay porque de las luces de Navidad. Estan en casi toda la ciudad, pero si quiere ver las mejores, necesita ver las que estan en Michigan Ave - una calle famosa en la ciudad. Son mas espectacular. Una otra cosa divertida es un mercado alemana que viene cada año en diciembre. Esta en un plaza grande y se llama Christkindlmarket. Es un buen lugar para comprar reglas. No he estado a muchos restaurantes en la ciudad pero hay una variedad impresionante. He visitado Nueva York, Londres, Barcelona, y otras ciudades grandes pero Chicago es mi favorita de todas. Si no la ha visto - debe visitarla! <br/>  Una otra cosa que me gusta sobre Illinois es las cuatro estaciones. Hay primavera, verano, otono, e invierno. En primavera hay muchas flores y el tiempo empiece hacer calor. Es muy bonita. En verano el tiempo hace mucho calor y mi familia y yo vamos al lago de Michigan para nadar. Otono es mi estacion favorita. Es muy linda y los colores de los arboles son brillantes. Septiembre y octumbre son buenos meses para andar en el campo. Por fin, hay el invierno - la estacion de mi navidad. Me encanta el invierno porque de la nieve. Si no hay nieve, soy triste. Mis abuelos materna vinieron de la Scandanavia y a veces mi mama me ha dijo que tengo su abilidad vivir en el frio. Estoy de acuerdo. Me gustaria vivir en una region con mucha nieve.  <br/>  El campo es el tercero parte de Illinois que me gusta mejor. Aunque la tierra es llano, hay bosques, rios, y lagos bonitos. Muchos animales viven en el campo como zorros, mapaches, ciervos, y coyotes. Detras de mi casa esta un bosque pequeno y he visto muchos tipos de animales salvajes. Soy afortunada porque vivo en un area que esta entre Chicago y el campo. Entonces, estoy cerca de los dos. <br/>  Pues, eso es la region que vivo. No es espectacular como los estados con oceanos, desiertos, y montanas. En realidad es un estado un poco aburrido. Pero es mi casa y lo me gusta mucho."	
Learners	EN_WR_29_21_6_6_SLB	2006-2016	29 / 43	67.4	Upper intermediate	Female	21	Southern University and A&M College	BA	4th	English	English	English	English	5	6	No	""	""	0	""	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	4 / 6	""	""	""	""	""	Written	6	6. Recent trip	written_online	""	Inside classroom	""	Este verano pasado yo fui a Mexico por estudiar extrañjero. Me salgo 13 de Mayo y regressé 5 de junio. Yo fui con el programa está en mi Universidad. Era fantastico. Yo no se que ceer, pero era no importa a mi porque estuve lista para ideas nueva. La cuidad era bonita. Los gentes aya son, no tengo palabras por los gentes aya. Era accepté que familia. Comí a resturantes differente, conocí gentes differente, y aprendí sobre una otra cultura. Cuando fui vivir en Mexico yo recibí un familia que acceptáron mi con mucho amor. Yo siempre quierí un hermano, pero nuna tuve un, hasta Mexico. Nos hablabámos todo lo noches. Fuímos a Bingo, fiestas, y nos divertímos. Mi familia era bueno. Yo aprendí que gentes en otra partes del mundo quieren, y vivien tambien.	
Learners	EN_WR_29_22_1_13_WS	2019	29 / 43	67.4	Upper intermediate	Male	22	Texas Tech University	Political Science	4	English	English	English	English	21	1	Yes	Spain	2019	4	""	Upper intermediate (B2)	Lower intermediate (B1)	Lower intermediate (B1)	Upper intermediate (B2)	3.5 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	20	Outside classroom	""	Un día, un chico y su perro era jugando con su rana. El chico le gusta el rana mucho, porque el rana fue su mascota. Pero un día, la rana escapó de su cuenco y salió la casa. El chico se lleventó de su cama el proxima día encontrar su rana no estaba en su cuenco. El chico y su perro fueron entro el bosque a buscar por la rana. Primera, el chico buscó en un arból, pero la rana no era allí. Despues el chico buscó en una roca, pero un animal mas grande empujó el chico entro un estanque. Con suerte, el chico encontró su rana en el estanque. La rana hacía hijos en el bosque. Así que el chico tomó una ranita, y salió.	
Learners	EN_WR_29_22_2_2_ALK	2006-2016	29 / 43	67.4	Upper intermediate	Female	22	Syracuse University	Broadcast Journalism	1st	English	English	English	English	15	2	Yes	Mexico	2003	1	""	Lower beginner (A1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower beginner (A1)	2 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Inside classroom	""	Mi persona famosa es un buen actor. Su nombre es Leonardo DiCaprio. El es mi actor favorito porque el es muy guapo, y es el buen actor de todo el mundo. El había presentado muchas ganas de acting, pero él nunca gana. Es el mayor triste de todo el mundo. <br/>  Cuando él era niño, Leonardo DiCaprio tenía mucho trabajo en televisión. El era en ¨Grownng Pains¨ durante los situaciónes finales del show. ÉL jugaba el parte de Luke, un muchacho que no tenia padres, y vivían en un baño de un autobus. El traían mucho simpatico e este parte, y Luke era un caracter favorite del series. <br/>  Muchos años pasados, él aparecía en muchas peliculas jovenes. El era en ¨This Boy´s Life¨ y ¨The Basketball Diares¨, cuando él jugaba un muchacho que vive una vida muy dificíl. Pero, el parte más especial de la trabaja joven de Leonardo DiCaprio, es su parte en ¨What´s Eating Gilbert Grape¨. él jugaba el parte de Arnie, un niño que tenía problemas de la cabaza. Un otro actor en este película es Johnny Depp, Señor Depp jugaba el parte de Gilbert. Los does actores son hermanos en el pelicula, y Gilbert mantenía la vida de Arnie. Para su parte de Arnie en ¨What´s Eating Gilbert Grape¨, Señor DiCaprio ganaba su primera nomanación de los Oscars. Él no ganó, pero su nominación era una momento histórico en el mundo de los pecículas, porque el era muy jovén cuando preponía para la categoría ¨Best Supporting Actor¨, y nunca había recibido una nomanación de este categoría que era más jovén que Leonardo. <br/>  Él tiene muchos años más cuando el aparecía en el película que caminó el Mundo entero. ¨Titanic¨, hoy, ha hecho más dinero de todas las películas que ha hecho. La película gana más de un bilión dolores mundial, y es aclamado de unos películas mas buena de todo el mundo. En ¨Titanic¨, él interpretaba Jack, un pobre hombre que gana un bolleto en el barco de Titanic. El se amoraba con un muchaha rica, Rose. Los dos tenía un aventura muy grande, curando el barco se rompío, y hundío. El agua del mar era muy frígido, y todos de las personas que no estaba en los botes salvavidas, se murieron. Jack y Rose no estaban en los botes salvavida, y estaban en el mar. Pero, Jack encontraba una puerta. Rose dejaba en el puerto, pero Jack se quedaba en el mar. Rose vivía, pero Jack se Murío. Es muy triste. <br/>  Leonardo DiCaprio es mi actor favorito.	
Learners	EN_WR_29_22_5_1_K	2006-2016	29 / 43	67.4	Upper intermediate	Female	22	Georgia State University	""	1st	English	English	English	English	13	5	No	""	""	0	""	Lower beginner (A1)	Upper intermediate (B2)	Upper intermediate (B2)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	Yo vivo en el sureste de Los Ustados Unidos. Durante Enero y Febrero la temperatura es muy frio pero no hay nieva. Durante Marzo, Abril y Mayo la temperatura es mediano y hay mucha llueve. Durante Junio, Julio y Augosto la temperatura es muy caliente.	
Learners	EN_WR_29_22_5_7_JRS	2006-2016	29 / 43	67.4	Upper intermediate	Male	22	University of Florida	Geography	4th	English	Spanish	English	English	13	5	No	""	""	0	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	7	7. An experience	written_online	""	Both inside and outside classroom	Bilingual dictionary (Spanish/English), Spellchecker	Este pregunta está muy fácil, porque yo sé exactamente que yo voy a hablar sobre. Cerca de hace dos años, (2 años este diciembre uno) yo he tenido una infección de MRSA en mi columna vertebral y mi sangre (sepsis) y mis pulmones. Era muy grave.  <br/>   <br/>  Comenzó con un dolor de mi espalda una semana antes de diciembre. A medida que el tiempo avanzaba, se puso peor y fui a la enfermería a UF. Ellos me dieron Motrin y me envió a una masajista (masseuse). Pues, la masajista no hizo nada. De hecho, ella hizo lo peor. Ella separó la infección de uno pulgada a diez.!!! Yo no había comido por varios días ni me tenía ido al baño. Venido descubrir, yo comenzaba a paralizarse. <br/>   <br/>  El dolor consiguió así que malo que no podía dormir. Después de la segunda noche de ningunos sueños, me fui al hospital. Esperé cerca de 6 horas, gritando del dolor. Llamaron mi nombre. Un doctor finalmente vino adentro después alrededor de una hora más de mí gritaba para la ayuda. Él realizó que había algo mal. Esto está probablemente debido a la mirada en mis ojos. Pidieron para una muestra de orina. Mientras que caminé al baño, realicé que mis piernas sentidas muy extrañas. Parecía que yo fui caminando en las nubes. No podía dar una muestra de orina. El doctor parecía confuso. <br/>   <br/>  Yo notado rápidamente (a mi sorpresa) que yo no podía levantar mis piernas. Pues, yo comencé a gritar para la ayuda un otra vez. El doctor volvió y su quijada cayó cuando él realizó lo que estaba haciendo. Después de una exploración del CT, mi infección fuera identificada. <br/>   <br/>  Pasé el mes proximo en el hospital. paralizado. yo he luchado para vida y pensamiento sobre muerte. Fue muy difícil. No me gusta hablar de los detalles. Se me hace triste. Pero es importante para mí que no olvido. Pues, no es duro para recordar. Tengo que luchar diariamente/constantemente con problemas. ¿Voy a hacer pis en clase? ¿Qué sucede si no puedo hacer pis? La náusea se ha convertido a un compañero constante. Me dijeron que yo no caminaría otra vez. He descubierto recientemente que no debo haber vivido. <br/>   <br/>  Recuperar era muy difícil. Mi doctor me dio un montón de medicina que eran muy fuerte y yo tenía muchas problemas con ellos. Marihuana no tenía efectos muy malo para mí pero este es una tema diferente de mio. Una de las cosas más difíciles de superar no es el problemas físicos que enfrentan, pero las cosas mentales. Nunca fui un chico malo. Yo mismo he considerado una “goody-goody.” ¿Qué hice para merecer esto? Este es mi culpa? Bueno, yo no insistiré en estas preguntas. <br/>   <br/>  Una experiencia como esto cambios vidas. Usted se madura. Usted aprende. Usted nunca mira detrás. En muchos sentidos, me alegro de que fui a través de este. Tuve la oportunidad de jugar con fuego y vivir hablando acerca de ello. Eso es algo que pocas personas pueden decir honestamente que ellos hicieron.	
Learners	EN_WR_29_26_5_5_KB	2006-2016	29 / 43	67.4	Upper intermediate	Female	26	N/A	""	4th	English	English	English	English	14	5	No	""	""	0	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	Italian	Lower beginner (A1)	Lower beginner (A1)	Lower intermediate (B1)	Lower beginner (A1)	Written	5	5. Future plans	written_online	""	Outside classroom	""	Mis planes para el futuro no estan seguro. Hay muchas cosas que quiero hacer; incluyen cosas personalmente y cosas profesional. Ahorita estoy buscando para un trabajo nuevo porque el trabajo que tengo ahora no me da mucho satisfaccion. Trabajo en una compania muy grande. Los duenos son hermanos, y por eso hay muchas problemas familias en la compania. Tambien estoy buscando para un trabajo nuevo porque quiero trabjar en un lugar donde puede hacer una differencia en el mundo. En dos noces cada dia, trabajo (sin pagar) en un lugar donde viven mujeres y ninos que no tienen un lugar para dormir. No se la palabra correcto, pero es un lugar especialmente para personas que no tienen casas ni apartamentos permanente. Me gusta mucho estar alli, por que me da mucho satisfaccion y quando estoy alli, me siento como puedo ayudar los ninos. <br/>   <br/>  Mis otras planes para el futuro son mas personal. Quiero casarse, y quiero tendria ninos. Espero que viajar mucho con mi familia, para visitar los regiones pobres en el mundo para ayudar para construir casas y escuelas para las personas que viven alli. Tambien quiero mostrar a mis ninos futuros la manera en que viven las personas mas pobren que ellos para demonstrar la importancia de dar gracias para las cosas que tienen in esta region del mundo. Es muy important que siempre recordamos nuestra buena suerte para tener techas sobre nuestran cabesas, comida para comer, y familia. <br/>   <br/>  En el futuro imediamente, ya me voy a Costa Rica para un viaje con mis amigas. Vamos a visitar el volcano arenal y mucas playas famosas.	
